messieurs	NOM	messieurs
antoine	NOM	antoine
(	PUN	(
resda	VER:simp	resda
)	PUN	)
;	PUN	;
8	NUM	@card@
l.	ABR	l.
cremel	NOM	cremel
(	PUN	(
assrv	NOM	assrv
)	PUN	)
;	PUN	;
9	NUM	@card@
m.	ABR	m.
leidelinger	NOM	leidelinger
(	PUN	(
cohm	NOM	cohm
)	PUN	)
;	PUN	;
10	NUM	@card@
a.	ABR	a.
didier-laurent	ADJ	didier-laurent
(	PUN	(
cohm	NOM	cohm
)	PUN	)
;	PUN	;
11	NUM	@card@
e.	ABR	e.
fraisse	NOM	fraisse
(	PUN	(
lscp	NOM	lscp
)	PUN	)
;	PUN	;
12	NUM	@card@
j.	ABR	j.
kolb	NOM	kolb
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
;	PUN	;
13	NUM	@card@
d.	ABR	d.
bourguignon	ADJ	bourguignon
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
;	PUN	;
14	NUM	@card@
e.	ABR	e.
grenot	NOM	grenot
(	PUN	(
resda	VER:simp	resda
)	PUN	)
;	PUN	;
15	NUM	@card@
m.	ABR	m.
jurion	NOM	jurion
(	PUN	(
acbm	NOM	acbm
)	PUN	)
;	PUN	;
16	NUM	@card@
a.	ABR	a.
thiebaut	NOM	thiebaut
(	PUN	(
cisa	VER:simp	cisa
)	PUN	)
;	PUN	;
17	NUM	@card@
m.	ABR	m.
ermel	NOM	ermel
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
;	PUN	;
18	NUM	@card@
c.	ABR	c.
gehin	NOM	gehin
(	PUN	(
cohm	NOM	cohm
)	PUN	)
;	PUN	;
19	NUM	@card@
c.	ABR	c.
olivier	NOM	olivier
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
;	PUN	;
20	NUM	@card@
c.	ABR	c.
claudon	NOM	claudon
(	PUN	(
cohm	NOM	cohm
)	PUN	)
;	PUN	;
21	NUM	@card@
h.	ABR	h.
benassou	NOM	benassou
(	PUN	(
cohm	NOM	cohm
)	PUN	)
;	PUN	;
22	NUM	@card@
m.	ABR	m.
meyer	NOM	meyer
(	PUN	(
cisa	VER:simp	cisa
)	PUN	)
;	PUN	;
23	NUM	@card@
j.	ABR	j.
lemaire	NOM	lemaire
(	PUN	(
cisa	VER:simp	cisa
)	PUN	)
;	PUN	;
24	NUM	@card@
a.	ABR	a.
bernard	NOM	bernard
(	PUN	(
est	VER:pres	être
)	PUN	)
;	PUN	;
25	NUM	@card@
a.	ABR	a.
marchal	NOM	marchal
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
;	PUN	;
26	NUM	@card@
a.	ABR	a.
michel	NOM	michel
(	PUN	(
acbm	NOM	acbm
)	PUN	)
;	PUN	;
27	NUM	@card@
b.	ABR	b.
colle	NOM	colle
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
;	PUN	;
28	NUM	@card@
b.	ABR	b.
berjon	NOM	berjon
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
;	PUN	;
29	NUM	@card@
g.	ABR	g.
adam	NOM	adam
(	PUN	(
est	VER:pres	être
)	PUN	)
;	PUN	;
30	NUM	@card@
e.	ABR	e.
pierrez	NOM	pierrez
(	PUN	(
pac	NOM	pac
gam	NOM	gam
).	VER:pper	).
par	PRP	par
équipes	NOM	équipe
:	PUN	:
1	NUM	@card@
cohm	NOM	cohm
;	PUN	;
2	NUM	@card@
resda	NOM	resda
;	PUN	;
3	NUM	@card@
achm	NOM	achm
.	SENT	.
poussines	NOM	poussine
:	PUN	:
1	NUM	@card@
m.	ABR	m.
xolin	NOM	xolin
(	PUN	(
cohm	NOM	cohm
)	PUN	)
4	NUM	@card@
'	PUN	'
37	NUM	@card@
;	PUN	;
2	NUM	@card@
j.	ABR	j.
cael	NOM	cael
(	PUN	(
cos	NOM	cos
villers	NOM	villers
)	PUN	)
4	NUM	@card@
'	PUN	'
39	NUM	@card@
;	PUN	;
3	NUM	@card@
f.	ABR	f.
senigar	NOM	senigar
(	PUN	(
assrv	NOM	assrv
)	PUN	)
4	NUM	@card@
'	PUN	'
52	NUM	@card@
;	PUN	;
4	NUM	@card@
m.	ABR	m.
delaitre	NOM	delaitre
(	PUN	(
cohm	NOM	cohm
)	PUN	)
4	NUM	@card@
'	PUN	'
56	NUM	@card@
;	PUN	;
5	NUM	@card@
c.	ABR	c.
claudon	NOM	claudon
(	PUN	(
cohm	NOM	cohm
)	PUN	)
4	NUM	@card@
'	PUN	'
58	NUM	@card@
;	PUN	;
6	NUM	@card@
h.	ABR	h.
demangaet	NOM	demangaet
(	PUN	(
acbm	NOM	acbm
)	PUN	)
5	NUM	@card@
'	PUN	'
04	NUM	@card@
;	PUN	;
7	NUM	@card@
a-c	ADJ	a-c
.	SENT	.
pierrat	NOM	pierrat
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
19	NUM	@card@
;	PUN	;
8	NUM	@card@
c.	ABR	c.
retournard	NOM	retournard
(	PUN	(
est	VER:pres	être
)	PUN	)
5	NUM	@card@
'	PUN	'
23	NUM	@card@
;	PUN	;
9	NUM	@card@
c.	ABR	c.
demangeat	NOM	demangeat
(	PUN	(
acbm	NOM	acbm
)	PUN	)
5	NUM	@card@
'	PUN	'
24	NUM	@card@
;	PUN	;
10	NUM	@card@
c.	ABR	c.
lambolez	NOM	lambolez
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
5	NUM	@card@
'	PUN	'
30	NUM	@card@
;	PUN	;
11	NUM	@card@
a.	ABR	a.
damien	NOM	damien
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
37	NUM	@card@
;	PUN	;
12	NUM	@card@
l.	ABR	l.
moreau	ADJ	moreau
(	PUN	(
assrv	NOM	assrv
)	PUN	)
5	NUM	@card@
'	PUN	'
38	NUM	@card@
;	PUN	;
13	NUM	@card@
a.	ABR	a.
collin	ADJ	collin
(	PUN	(
assrv	NOM	assrv
)	PUN	)
5	NUM	@card@
'	PUN	'
38	NUM	@card@
;	PUN	;
14	NUM	@card@
a.	ABR	a.
lucas	NOM	lucas
(	PUN	(
acbm	NOM	acbm
)	PUN	)
5	NUM	@card@
'	PUN	'
39	NUM	@card@
;	PUN	;
15	NUM	@card@
a.	ABR	a.
masson	NOM	masson
(	PUN	(
assrv	NOM	assrv
)	PUN	)
5	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
16	NUM	@card@
e.	ABR	e.
pierrel	NOM	pierrel
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
42	NUM	@card@
;	PUN	;
17	NUM	@card@
a.	ABR	a.
illesta	NOM	illesta
(	PUN	(
est	VER:pres	être
)	PUN	)
5	NUM	@card@
'	PUN	'
42	NUM	@card@
;	PUN	;
18	NUM	@card@
p.	ABR	p.
meyer	NOM	meyer
(	PUN	(
acbm	NOM	acbm
)	PUN	)
5	NUM	@card@
'	PUN	'
46	NUM	@card@
;	PUN	;
19	NUM	@card@
a.	ABR	a.
piatkowski	NOM	piatkowski
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
48	NUM	@card@
;	PUN	;
20	NUM	@card@
c.	ABR	c.
klein	NOM	klein
(	PUN	(
resda	VER:simp	resda
)	PUN	)
5	NUM	@card@
'	PUN	'
48	NUM	@card@
;	PUN	;
21	NUM	@card@
m.	ABR	m.
faist	NOM	faist
(	PUN	(
caps	NOM	cap
)	PUN	)
5	NUM	@card@
'	PUN	'
51	NUM	@card@
;	PUN	;
22	NUM	@card@
e.	ABR	e.
ferry	NOM	ferry
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
52	NUM	@card@
;	PUN	;
23	NUM	@card@
f.	ABR	f.
amet	NOM	amet
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
94	NUM	@card@
;	PUN	;
24	NUM	@card@
c.	ABR	c.
lerognon	NOM	lerognon
(	PUN	(
acbm	NOM	acbm
)	PUN	)
5	NUM	@card@
'	PUN	'
55	NUM	@card@
;	PUN	;
25	NUM	@card@
c.	ABR	c.
maire	NOM	maire
(	PUN	(
assrv	NOM	assrv
)	PUN	)
5	NUM	@card@
'	PUN	'
57	NUM	@card@
;	PUN	;
26	NUM	@card@
l.	ABR	l.
adam	NOM	adam
(	PUN	(
cohm	NOM	cohm
)	PUN	)
5	NUM	@card@
'	PUN	'
58	NUM	@card@
;	PUN	;
27	NUM	@card@
c.	ABR	c.
bauer	NOM	bauer
(	PUN	(
resda	VER:simp	resda
)	PUN	)
6	NUM	@card@
'	PUN	'
01	NUM	@card@
;	PUN	;
28	NUM	@card@
h.	ABR	h.
caldieux	NOM	caldieux
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
6	NUM	@card@
'	PUN	'
06	NUM	@card@
;	PUN	;
29	NUM	@card@
g.	ABR	g.
bahlinger	NOM	bahlinger
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
6	NUM	@card@
'	PUN	'
07	NUM	@card@
;	PUN	;
30	NUM	@card@
a.	ABR	a.
mansuy	NOM	mansuy
(	PUN	(
gérardmer	NOM	gérardmer
)	PUN	)
6	NUM	@card@
'	PUN	'
07	NUM	@card@
;	PUN	;
31	NUM	@card@
c.	ABR	c.
guillaume	NOM	guillaume
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
6	NUM	@card@
'	PUN	'
25	NUM	@card@
;	PUN	;
32	NUM	@card@
n.	ABR	n.
michel	NOM	michel
(	PUN	(
acbm	NOM	acbm
)	PUN	)
6	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
33	NUM	@card@
j.	ABR	j.
valt	NOM	valt
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
6	NUM	@card@
'	PUN	'
45	NUM	@card@
;	PUN	;
34	NUM	@card@
c.	ABR	c.
demeyer	NOM	demeyer
(	PUN	(
caps	NOM	cap
)	PUN	)
6	NUM	@card@
'	PUN	'
56	NUM	@card@
par	PRP	par
équipes	NOM	équipe
:	PUN	:
1	NUM	@card@
cohm	NOM	cohm
;	PUN	;
2	NUM	@card@
assrv	NOM	assrv
;	PUN	;
3	NUM	@card@
acbm	NOM	acbm
.	SENT	.
